Date,TOTAL DEMAND
2021/02/01,4677.07
2021/02/02,4422.4
2021/02/03,4420.83
2021/02/04,4952.52
2021/02/05,5020.45
2021/02/06,3993.73
2021/02/07,3827.72
2021/02/08,4341.75
2021/02/09,4451.44
2021/02/10,5192.52
2021/02/11,5619.33
2021/02/12,4762.42
2021/02/13,4052.84
2021/02/14,3877.53
2021/02/15,4451.89
2021/02/16,5104.88
2021/02/17,5387.56
2021/02/18,5538.17
2021/02/19,5725.82
2021/02/20,5065.78
2021/02/21,4417.7
2021/02/22,4398.86
2021/02/23,4369.82
2021/02/24,4524.05
2021/02/25,4477.35
2021/02/26,4491.96
2021/02/27,4309.07
2021/02/28,4064.63
2021/03/01,4483.01
2021/03/02,4630.56
2021/03/03,4697.81
2021/03/04,4693.95
2021/03/05,4542.26
2021/03/06,3920.84
2021/03/07,4128.66
2021/03/08,4473.62
2021/03/09,4652.93
2021/03/10,4634.52
2021/03/11,4893.5
2021/03/12,5007.65
2021/03/13,4457.83
2021/03/14,3899.08
2021/03/15,4721.75
2021/03/16,4675.09
2021/03/17,4759.07
2021/03/18,4840.95
2021/03/19,4714.17
2021/03/20,4161.39
2021/03/21,4273.27
2021/03/22,4758.01
2021/03/23,4939.99
2021/03/24,4788.79
2021/03/25,4624.14
2021/03/26,4613.95
2021/03/27,4148.3
2021/03/28,4098.78
2021/03/29,4631.35
2021/03/30,4674.82
2021/03/31,4737.36
2021/04/01,4794.32
2021/04/02,4221.92
2021/04/03,4250.87
2021/04/04,4060.35
2021/04/05,3985.12
2021/04/06,4470.84
2021/04/07,4725.88
2021/04/08,4791.56
2021/04/09,4539.44
2021/04/10,4233.11
2021/04/11,4389.78
2021/04/12,5108.69
2021/04/13,4939.37
2021/04/14,4586.08
2021/04/15,4752.79
2021/04/16,5055.71
2021/04/17,4439.3
2021/04/18,4345.54
2021/04/19,4769.14
2021/04/20,5096.85
2021/04/21,5143.59
2021/04/22,5154.41
2021/04/23,5013.69
2021/04/24,4586.88
2021/04/25,4489.08
2021/04/26,5093.54
2021/04/27,5217.38
2021/04/28,5135.79
2021/04/29,5132.37
2021/04/30,4898.57
2021/05/01,4199.08
2021/05/02,4061.56
2021/05/03,4937.26
2021/05/04,5247.58
2021/05/05,5050.18
2021/05/06,5108.99
2021/05/07,5016.13
2021/05/08,4400.58
2021/05/09,4138.75
2021/05/10,4963.93
2021/05/11,5169.06
2021/05/12,4996.51
2021/05/13,5263.5
2021/05/14,5182.52
2021/05/15,4801.0
2021/05/16,4762.69
2021/05/17,5306.82
2021/05/18,5539.66
2021/05/19,5078.29
2021/05/20,5468.85
2021/05/21,5379.45
2021/05/22,4845.72
2021/05/23,4579.13
2021/05/24,5052.52
2021/05/25,4975.75
2021/05/26,5234.35
2021/05/27,5311.34
2021/05/28,5378.69
2021/05/29,4904.46
2021/05/30,4920.5
2021/05/31,5462.06
2021/06/01,5577.54
2021/06/02,5209.58
2021/06/03,5178.89
2021/06/04,5326.47
2021/06/05,5109.72
2021/06/06,4752.52
2021/06/07,5116.0
2021/06/08,5676.38
2021/06/09,5776.99
2021/06/10,5278.12
2021/06/11,5437.73
2021/06/12,4831.98
2021/06/13,4795.56
2021/06/14,4879.14
2021/06/15,5476.77
2021/06/16,5505.86
2021/06/17,5873.18
2021/06/18,5781.38
2021/06/19,4900.7
2021/06/20,4992.05
2021/06/21,5745.37
2021/06/22,5794.85
2021/06/23,5620.05
2021/06/24,5344.19
2021/06/25,5722.63
2021/06/26,5037.12
2021/06/27,4855.16
2021/06/28,5615.12
2021/06/29,5595.29
2021/06/30,5367.66
2021/07/01,5344.65
2021/07/02,5582.96
2021/07/03,5515.75
2021/07/04,5429.4
2021/07/05,6231.44
2021/07/06,6105.06
2021/07/07,5964.84
2021/07/08,6110.95
2021/07/09,6099.85
2021/07/10,5485.58
2021/07/11,5053.55
2021/07/12,5559.84
2021/07/13,5709.07
2021/07/14,5794.0
2021/07/15,5345.47
2021/07/16,5516.16
2021/07/17,5230.87
2021/07/18,5030.86
2021/07/19,5739.95
2021/07/20,6055.7
2021/07/21,5917.17
2021/07/22,6063.89
2021/07/23,6001.35
2021/07/24,5222.8
2021/07/25,5219.97
2021/07/26,5479.98
2021/07/27,5209.82
2021/07/28,5319.07
2021/07/29,5536.56
2021/07/30,5375.98
2021/07/31,4611.14
2021/08/01,4639.38
2021/08/02,5250.08
2021/08/03,5530.0
2021/08/04,5491.74
2021/08/05,5334.3
2021/08/06,5417.87
2021/08/07,4967.19
2021/08/08,4812.15
2021/08/09,5395.07
2021/08/10,4912.91
2021/08/11,5122.97
2021/08/12,5245.86
2021/08/13,5088.27
2021/08/14,4677.52
2021/08/15,4189.94
2021/08/16,5063.75
2021/08/17,5408.44
2021/08/18,5429.55
2021/08/19,5041.02
2021/08/20,5231.77
2021/08/21,4324.88
2021/08/22,3951.02
2021/08/23,4984.06
2021/08/24,5228.87
2021/08/25,5262.64
2021/08/26,5622.2
2021/08/27,5593.55
2021/08/28,4356.35
2021/08/29,4676.03
2021/08/30,4836.63
2021/08/31,4719.59
2021/09/01,4402.31
2021/09/02,4096.7
2021/09/03,4750.68
2021/09/04,4395.93
2021/09/05,4286.13
2021/09/06,4612.08
2021/09/07,4911.86
2021/09/08,4515.55
2021/09/09,4308.73
2021/09/10,4747.2
2021/09/11,4111.31
2021/09/12,4218.13
2021/09/13,4902.53
2021/09/14,5016.96
2021/09/15,4929.07
2021/09/16,4896.3
2021/09/17,4546.72
2021/09/18,4072.97
2021/09/19,4246.08
2021/09/20,4875.8
2021/09/21,5248.19
2021/09/22,4893.82
2021/09/23,4360.88
2021/09/24,4036.37
2021/09/25,4354.64
2021/09/26,4083.38
2021/09/27,4489.43
2021/09/28,4424.11
2021/09/29,4634.31
2021/09/30,4819.27
2021/10/01,4546.66
2021/10/02,4244.55
2021/10/03,3954.97
2021/10/04,4341.18
2021/10/05,4683.1
2021/10/06,4403.2
2021/10/07,4416.08
2021/10/08,4314.07
2021/10/09,3850.6
2021/10/10,3895.97
2021/10/11,4716.47
2021/10/12,4482.09
2021/10/13,4592.06
2021/10/14,4584.84
2021/10/15,4738.88
2021/10/16,4283.73
2021/10/17,4145.62
2021/10/18,4867.07
2021/10/19,4626.27
2021/10/20,4209.38
2021/10/21,4350.62
2021/10/22,4448.53
2021/10/23,4278.16
2021/10/24,3934.75
2021/10/25,4599.85
2021/10/26,4411.49
2021/10/27,4124.08
2021/10/28,4437.56
2021/10/29,4209.37
2021/10/30,4094.61
2021/10/31,3735.4
2021/11/01,4025.25
2021/11/02,3707.69
2021/11/03,4639.16
2021/11/04,4089.18
2021/11/05,4351.62
2021/11/06,4005.6
2021/11/07,3955.91
2021/11/08,4369.58
2021/11/09,4376.05
2021/11/10,4725.14
2021/11/11,4402.81
2021/11/12,5047.54
2021/11/13,4322.3
2021/11/14,4127.68
2021/11/15,4783.86
2021/11/16,5137.23
2021/11/17,4518.25
2021/11/18,4368.78
2021/11/19,4439.38
2021/11/20,3912.04
2021/11/21,3615.27
2021/11/22,4140.19
2021/11/23,4491.87
2021/11/24,4621.43
2021/11/25,4700.03
2021/11/26,4153.58
2021/11/27,3465.39
2021/11/28,3467.57
2021/11/29,4390.37
2021/11/30,4909.72
2021/12/01,5072.66
2021/12/02,5013.18
2021/12/03,4249.22
2021/12/04,3842.75
2021/12/05,3633.35
2021/12/06,4451.5
2021/12/07,4714.37
2021/12/08,4265.96
2021/12/09,4678.31
2021/12/10,4264.4
2021/12/11,3823.86
2021/12/12,3801.32
2021/12/13,4858.99
2021/12/14,4621.59
2021/12/15,4833.67
2021/12/16,4237.13
2021/12/17,4633.92
2021/12/18,4463.13
2021/12/19,3911.59
2021/12/20,4046.54
2021/12/21,4243.73
2021/12/22,4200.38
2021/12/23,3994.12
2021/12/24,4066.46
2021/12/25,3446.63
2021/12/26,3277.12
2021/12/27,3266.12
2021/12/28,3333.95
2021/12/29,3838.61
2021/12/30,4503.62
2021/12/31,5246.91
2022/01/01,4949.38
2022/01/02,4480.78
2022/01/03,3652.58
2022/01/04,4216.63
2022/01/05,4471.33
2022/01/06,4847.4
2022/01/07,4814.57
2022/01/08,4098.05
2022/01/09,3902.16
2022/01/10,4912.22
2022/01/11,4890.41
2022/01/12,4971.09
2022/01/13,5353.12
2022/01/14,5669.71
2022/01/15,4454.48
2022/01/16,4636.54
2022/01/17,4801.27
2022/01/18,4346.9
2022/01/19,4298.87
2022/01/20,4662.52
2022/01/21,5072.16
2022/01/22,4941.29
2022/01/23,5144.54
2022/01/24,6050.81
2022/01/25,6180.59
2022/01/26,5775.81
2022/01/27,6183.4
2022/01/28,5986.79
2022/01/29,4397.5
2022/01/30,4710.65
2022/01/31,6082.31
2022/02/01,4768.11
2022/02/02,4303.9
2022/02/03,4337.31
2022/02/04,4121.71
2022/02/05,3860.07
2022/02/06,3849.31
2022/02/07,4641.62
2022/02/08,4959.49
2022/02/09,4974.47
2022/02/10,4614.94
2022/02/11,4223.64
2022/02/12,4135.15
2022/02/13,4563.72
2022/02/14,5337.33
2022/02/15,4859.47
2022/02/16,5016.35
2022/02/17,4555.61
2022/02/18,4289.42
2022/02/19,3884.0
2022/02/20,3879.26
2022/02/21,4258.16
2022/02/22,4370.37
2022/02/23,5225.15
2022/02/24,5046.33
2022/02/25,4442.97
2022/02/26,4292.37
2022/02/27,4323.86
2022/02/28,4919.1
2022/03/01,5194.93
2022/03/02,5288.13
2022/03/03,5488.52
2022/03/04,5688.97
2022/03/05,4454.08
2022/03/06,3989.58
2022/03/07,4535.64
2022/03/08,4350.79
2022/03/09,4206.54
2022/03/10,4331.74
2022/03/11,4513.12
2022/03/12,3963.24
2022/03/13,4181.52
2022/03/14,4370.21
2022/03/15,5005.89
2022/03/16,4832.51
2022/03/17,5101.26
2022/03/18,4791.69
